member_name,role,role_start_date,role_end_date,gender,name
καρατζαφερης ιωαννη γεωργιος,αρχηγος κομματος:προεδρος λαικου ορθοδοξου συναγερμου,14/09/2000,27/05/2019,male,georgios_karatzaferis
κατσαρος ηλια νικος,α αντιπροεδρος βουλης,22/04/1990,22/10/1993,male,nikos_katsaros
κατσαρος ηλια νικος,γ αντιπροεδρος βουλης,21/11/1989,22/04/1990,male,nikos_katsaros
κατσαρος ηλια νικος,β αντιπροεδρος βουλης,04/07/1989,21/11/1989,male,nikos_katsaros
κατσαρος ηλια νικος,δ αντιπροεδρος βουλης,22/10/1993,21/04/2000,male,nikos_katsaros
αναγνωστοπουλος γεωργιου θεοδωρος,δ αντιπροεδρος βουλης,21/11/1989,22/04/1990,male,theodoros_anagnostopoulos
αναγνωστοπουλος γεωργιου θεοδωρος,γ αντιπροεδρος βουλης,04/07/1989,21/11/1989,male,theodoros_anagnostopoulos
αναγνωστοπουλος γεωργιου θεοδωρος,β αντιπροεδρος βουλης,22/04/1990,22/10/1993,male,theodoros_anagnostopoulos
κολλια-τσαρουχα ευστρατιου μαρια,στ αντιπροεδρος βουλης,18/05/2012,05/02/2015,female,maria_kollia-tsarouxa
κοσιωνης ανδρεα παναγιωτης,ε αντιπροεδρος βουλης,19/03/2000,27/09/2007,male,panagiotis_kosionis
κουβελης ευαγγελου φωτιος-φανουριος,αρχηγος κομματος:προεδρος δημοκρατικης αριστερας,10/07/2010,07/06/2015,male,fotios-fanourios_koubelis
κουρακης στυλιανου αναστασιος (τασος),ζ αντιπροεδρος βουλης,17/06/2010,17/05/2012,male,anastasios_kourakis
κουρακης στυλιανου αναστασιος (τασος),δ αντιπροεδρος βουλης,18/05/2012,28/06/2012,male,anastasios_kourakis
κουρακης στυλιανου αναστασιος (τασος),α αντιπροεδρος βουλης,04/10/2015,18/07/2019,male,anastasios_kourakis
κουτσουμπας αποστολου δημητριος,αρχηγος κομματος:γενικος γραμματεας κομμουνιστικου κομματος ελλαδος,14/04/2013,28/07/2020,male,dimitrios_koutsoumpas
κρεμαστινος θωμα δημητριος,ε αντιπροεδρος βουλης,04/10/2015,18/07/2019,male,dimitrios_kremastinos
κρητικος νικολαου παναγιωτης,α αντιπροεδρος βουλης,21/11/1989,22/04/1990,male,panagiotis_kritikos
κρητικος νικολαου παναγιωτης,α αντιπροεδρος βουλης,22/10/1993,21/04/2000,male,panagiotis_kritikos
κρητικος νικολαου παναγιωτης,δ αντιπροεδρος βουλης,03/07/1989,21/11/1989,male,panagiotis_kritikos
κρητικος νικολαου παναγιωτης,δ αντιπροεδρος βουλης,22/04/1990,22/10/1993,male,panagiotis_kritikos
κωνσταντινοπουλος κωνσταντινου οδυσσεας,ε αντιπροεδρος βουλης,18/07/2019,28/07/2020,male,odusseas_konstantinopoulos
κωνσταντοπουλος ανδρεα νικολαος,αρχηγος κομματος:προεδρος συνασπισμου αριστερας κινηματων και οικολογιας,19/12/1993,12/12/2004,male,nikolaos_konstantopoulos
κωνσταντοπουλος ανδρεα νικολαος,αρχηγος κομματος:προεδρος συνασπισμου ριζοσπαστικης αριστερας,07/03/2004,12/12/2004,male,nikolaos_konstantopoulos
κωνσταντοπουλου ν. ζωη,ιστ προεδρος βουλης,06/02/2015,04/10/2015,female,zoi_konstantopoulou
κωστοπουλος βασιλειου δημητριος,ε αντιπροεδρος βουλης,08/10/1996,21/04/2000,male,dimitrios_kostopoulos
λαμπρουλης αριστειδη γεωργιος,ζ αντιπροεδρος βουλης,05/02/2015,06/07/2016,male,georgios_lamproulis
λαμπρουλης αριστειδη γεωργιος,στ αντιπροεδρος,04/10/2015,17/07/2019,male,georgios_lamproulis
λαμπρουλης αριστειδη γεωργιος,στ αντιπροεδρος βουλης,06/07/2016,28/07/2020,male,georgios_lamproulis
λαφαζανης γεωργιου παναγιωτης,αρχηγος κομματος:γενικος γραμματεας λαικης ενοτητας,21/08/2015,02/06/2019,male,panagiotis_lafazanis
λεβεντης αποστολου βασιλης,αρχηγος κομματος:προεδρος ενωσης κεντρωων,02/03/1992,28/07/2020,male,basilis_lebentis
λεβεντης σωτηριου αθανασιος,ζ αντιπροεδρος,15/10/2009,16/06/2010,male,athanasios_lebentis
λυκουδης διονυσιου σπυριδων,στ αντιπροεδρος βουλης,05/02/2015,04/10/2015,male,spuridon_lukoudis
λυκουδης διονυσιου σπυριδων,ζ αντιπροεδρος βουλης,06/07/2016,08/02/2019,male,spuridon_lukoudis
μαρκογιαννακης εμμανουηλ χρηστος,γ αντιπροεδρος βουλης,29/06/2012,05/02/2015,male,xristos_markogiannakis
