member_name,member_start_date,member_end_date,political_party,administrative_region,gender,name
τζακρη εμμανουηλ θεοδωρα,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,πελλης,female,theodora_tzakri
τζακρη εμμανουηλ θεοδωρα,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,πελλης,female,theodora_tzakri
τζακρη εμμανουηλ θεοδωρα,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,πελλης,female,theodora_tzakri
τζαμακλης γεωργιου χαριλαος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,πιεριας,male,xarilaos_tzamaklis
τζαμακλης γεωργιου χαριλαος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,πιεριας,male,xarilaos_tzamaklis
τζαμτζης συμεων ιορδανης (δανης),2000-04-09,2004-02-11,νεα δημοκρατια,πελλης,male,iordanis_tzamtzis
τζαμτζης συμεων ιορδανης (δανης),2004-03-07,2007-08-18,νεα δημοκρατια,πελλης,male,iordanis_tzamtzis
τζαμτζης συμεων ιορδανης (δανης),2007-09-16,2009-09-07,νεα δημοκρατια,πελλης,male,iordanis_tzamtzis
τζαμτζης συμεων ιορδανης (δανης),2012-06-17,2014-12-31,νεα δημοκρατια,πελλης,male,iordanis_tzamtzis
τζανακοπουλος μοσχου δημητριος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,α' αθηνων,male,dimitrios_tzanakopoulos
τζανακοπουλος μοσχου δημητριος,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,α' αθηνων,male,dimitrios_tzanakopoulos
τζανακοπουλος μοσχου δημητριος,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,α' αθηνων,male,dimitrios_tzanakopoulos
τζανης γεωργιου λεωνιδας,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,μαγνησιας,male,leonidas_tzanis
τζανης γεωργιου λεωνιδας,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,μαγνησιας,male,leonidas_tzanis
τζανης γεωργιου λεωνιδας,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,μαγνησιας,male,leonidas_tzanis
τζαννετακης πετρου τζαννης,1989-01-01,1989-06-02,νεα δημοκρατια,α' αθηνων,male,tzannis_tzannetakis
τζαννετακης πετρου τζαννης,1989-06-18,1989-10-12,νεα δημοκρατια,α' αθηνων,male,tzannis_tzannetakis
τζαννετακης πετρου τζαννης,1989-11-05,1990-03-12,νεα δημοκρατια,α' αθηνων,male,tzannis_tzannetakis
τζαννετακης πετρου τζαννης,1990-04-08,1993-09-11,νεα δημοκρατια,α' αθηνων,male,tzannis_tzannetakis
τζαννετακης πετρου τζαννης,1993-10-10,1996-08-24,νεα δημοκρατια,α' αθηνων,male,tzannis_tzannetakis
τζαννετακης πετρου τζαννης,1996-09-22,2000-03-14,νεα δημοκρατια,β' αθηνων,male,tzannis_tzannetakis
τζαννετακης πετρου τζαννης,2000-04-09,2004-02-11,νεα δημοκρατια,β' αθηνων,male,tzannis_tzannetakis
τζαννετακης πετρου τζαννης,2004-03-07,2007-08-18,νεα δημοκρατια,β' αθηνων,male,tzannis_tzannetakis
βαγιωνακη νικολαου ευαγγελια (βαλια),2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,χανιων,female,euaggelia_bagionaki
