member_name,role,role_start_date,role_end_date,gender,name
γεωργιος ορφανος,υφυπουργος πολιτισμου,10/03/2004,19/09/2007,male,georgios_orfanos
γεωργιος ορφανος,υπουργος μακεδονιας-θρακης,10/06/2014,27/01/2015,male,georgios_orfanos
γεωργιος παπαγεωργιου,υφυπουργος υγειας και κοινωνικης αλληλεγγυης,19/09/2007,07/10/2009,male,georgios_papageorgiou
γεωργιος παπακωνσταντινου,υπουργος οικονομικων,07/10/2009,17/06/2011,male,georgios_papakonstantinou
γεωργιος παπακωνσταντινου,υπουργος περιβαλλοντος ενεργειας και κλιματικης αλλαγης,17/06/2011,11/11/2011,male,georgios_papakonstantinou
γεωργιος παπακωνσταντινου,υπουργος περιβαλλοντος ενεργειας και κλιματικης αλλαγης,11/11/2011,17/05/2012,male,georgios_papakonstantinou
γεωργιος παπανδρεου,υπουργος εθνικης παιδειας και θρησκευματων,08/07/1994,22/01/1996,male,georgios_papandreou
γεωργιος παπανδρεου,υφυπουργος εξωτερικων,13/10/1993,08/07/1994,male,georgios_papandreou
γεωργιος παπανδρεου,υπουργος εθνικης παιδειας και θρησκευματων,22/01/1996,25/09/1996,male,georgios_papandreou
γεωργιος παπανδρεου,υπουργος εξωτερικων,19/02/1999,13/04/2000,male,georgios_papandreou
γεωργιος παπανδρεου,αναπληρωτης υπουργος εξωτερικων,25/09/1996,19/02/1999,male,georgios_papandreou
γεωργιος παπανδρεου,υπουργος εξωτερικων,13/04/2000,13/02/2004,male,georgios_papandreou
γεωργιος παπανδρεου,πρωθυπουργος,06/10/2009,11/11/2011,male,georgios_papandreou
γεωργιος παπανδρεου,υπουργος εξωτερικων,07/10/2009,07/09/2010,male,georgios_papandreou
γεωργιος παπασταμκος,υφυπουργος εξωτερικων,28/12/1990,13/10/1993,male,georgios_papastamkos
γεωργιος παπασταμκος,υφυπουργος εθνικης οικονομιας,11/04/1990,28/12/1990,male,georgios_papastamkos
γεωργιος παπουλιας,αναπληρωτης υπουργος εξωτερικων,02/07/1989,12/10/1989,male,georgios_papoulias
γεωργιος παπουλιας,υπουργος εξωτερικων,12/10/1989,23/11/1989,male,georgios_papoulias
γεωργιος παπουλιας,υπουργος εξωτερικων,16/02/1990,11/04/1990,male,georgios_papoulias
γεωργιος παπουλιας,αναπληρωτης υπουργος εξωτερικων,01/10/1990,28/12/1990,male,georgios_papoulias
γεωργιος πασχαλιδης,υφυπουργος εθνικης παιδειας και θρησκευματων,22/01/1996,25/09/1996,male,georgios_pasxalidis
γεωργιος πασχαλιδης,υφυπουργος στον πρωθυπουργο,25/09/1996,13/04/2000,male,georgios_pasxalidis
