member_name,member_start_date,member_end_date,political_party,administrative_region,gender
οικονομου δημητριου ιωαννης,2019-07-07,2023-04-22,νεα δημοκρατια,φθιωτιδας,male
οικονομου δημητριου ιωαννης,2023-06-25,2023-11-13,νεα δημοκρατια,φθιωτιδας,male
οικονομου σπυριδωνα παντελης,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων,male
οικονομου σπυριδωνα παντελης,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων,male
οικονομου σωκρατη αθανασιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male
οικονομου χρηστου γεωργιος,2012-05-06,2012-05-19,πανελληνιο σοσιαλιστικο κινημα,τρικαλων,male
οικονομου χρηστου γεωργιος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,τρικαλων,male
ορφανος δημητριου γεωργιος,1996-09-22,2000-03-14,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου γεωργιος,2004-03-07,2007-08-18,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου γεωργιος,2007-09-16,2009-09-07,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου γεωργιος,2012-05-06,2012-05-19,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου γεωργιος,2012-06-17,2014-12-31,νεα δημοκρατια,α' θεσσαλονικης,male
ορφανος δημητριου νικολαος,2015-01-25,2015-08-28,το ποταμι,β' πειραιως,male
ουζουνιδης δημητριου μαρινος,2012-06-17,2014-12-31,ανεξαρτητοι ελληνες - πανος καμμενος,εβρου,male
ουζουνιδου χρηστου ευγενια,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,κοζανης,female
ουζουνιδου χρηστου ευγενια,2015-08-21,2015-08-28,λαικη ενοτητα,κοζανης,female
ουζουνιδου χρηστου ευγενια,2015-01-25,2015-08-20,συνασπισμος ριζοσπαστικης αριστερας,κοζανης,female
αποστολατος σπυριδωνα βαιτσης,2007-09-16,2009-09-07,λαικος ορθοδοξος συναγερμος,α' πειραιως,male
αποστολατος σπυριδωνα βαιτσης,2009-10-04,2012-04-11,λαικος ορθοδοξος συναγερμος,α' πειραιως,male
ουρσουζιδης νικολαου γεωργιος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας,male
ουρσουζιδης νικολαου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ημαθιας,male
παγκαλος γεωργιου θεοδωρος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παγκαλος γεωργιου θεοδωρος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,αττικης(υπολοιπο),male
παλαιοκρασσας δημητριου ιωαννης,1989-01-01,1989-06-02,νεα δημοκρατια,κυκλαδων,male
παλαιοκρασσας δημητριου ιωαννης,1989-06-18,1989-10-12,νεα δημοκρατια,κυκλαδων,male
παλαιοκρασσας δημητριου ιωαννης,1989-11-05,1990-03-12,νεα δημοκρατια,κυκλαδων,male
παλαιοκρασσας δημητριου ιωαννης,2004-03-07,2004-03-26,νεα δημοκρατια,κυκλαδων,male
παλλης ευστρατιου γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,λεσβου,male
παναγιωταρος κωνσταντινου ηλιας,2012-05-06,2012-05-19,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male
παναγιωταρος κωνσταντινου ηλιας,2012-06-17,2014-12-31,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male
παναγιωταρος κωνσταντινου ηλιας,2015-01-25,2015-08-28,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male
παναγιωταρος κωνσταντινου ηλιας,2015-09-20,2019-06-11,λαικος συνδεσμος - χρυση αυγη,β' αθηνων,male
παναγιωτιδης παυλου χαραλαμπος,2023-05-21,2023-05-29,ελληνικη λυση - κυριακος βελοπουλος,α' θεσσαλονικης,male
παναγιωτοπουλος αντωνιου ανδρεας,2023-05-21,2023-05-29,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,αχαιας,male
παναγιωτοπουλος αντωνιου ανδρεας,2023-06-25,2023-11-13,συνασπισμος ριζοσπαστικης αριστερας - προοδευτικη συμμαχια,αχαιας,male
παναγιωτοπουλος ιωαννη νικολαος,2007-09-16,2009-09-07,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2009-10-04,2012-04-11,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2012-05-06,2012-05-19,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2012-06-17,2014-12-31,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2015-01-25,2015-08-28,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2015-09-20,2019-06-11,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2019-07-07,2023-04-22,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2023-05-21,2023-05-29,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος ιωαννη νικολαος,2023-06-25,2023-11-13,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,1989-01-01,1989-06-02,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,1989-06-18,1989-10-12,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,1989-11-05,1990-03-12,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,1993-10-10,1996-08-24,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,1996-09-22,2000-03-14,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος νικολαου γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,καβαλας,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2000-04-09,2004-02-11,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2004-03-07,2007-08-18,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2007-09-16,2009-09-07,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2009-10-04,2012-04-11,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2012-05-06,2012-05-19,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2012-06-17,2014-12-31,νεα δημοκρατια,β' αθηνων,male
παναγιωτοπουλος παναγιωτη παναγιωτης (πανος),2019-05-06,2019-06-11,νεα δημοκρατια,β' αθηνων,male
αποστολιδης θωμα λουκας,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,male
αποστολιδης θωμα λουκας,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,male
αποστολιδης θωμα λουκας,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,male
αποστολιδης θωμα λουκας,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,male
αποστολιδης θωμα λουκας,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,βοιωτιας,male
παναγουλης βασιλειου ευσταθιος (σταθης),1989-01-01,1989-06-02,κομμουνιστικο κομμα ελλαδας,β' αθηνων,male
παναγουλης βασιλειου ευσταθιος (σταθης),2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male
παναγουλης βασιλειου ευσταθιος (σταθης),2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male
παναγουλης βασιλειου ευσταθιος (σταθης),2015-11-19,2019-06-11,ανεξαρτητοι (εκτος κομματος),β' αθηνων,male
παναγουλης βασιλειου ευσταθιος (σταθης),2015-09-20,2015-11-18,συνασπισμος ριζοσπαστικης αριστερας,β' αθηνων,male
παναριτη ιωαννου ελενη (ελενα),2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,επικρατειας,female
πανας νικολαου αποστολος,2019-07-07,2023-04-22,κινημα αλλαγης,χαλκιδικης,male
πανας νικολαου αποστολος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,χαλκιδικης,male
πανας νικολαου αποστολος,2023-06-25,2023-11-13,πασοκ - κινημα αλλαγης,χαλκιδικης,male
πανουργιας στυλιανου πανουργιας,1989-01-01,1989-06-02,νεα δημοκρατια,φθιωτιδας,male
πανουσης αποστολου ιωαννης,2012-05-06,2012-05-19,δημοκρατικη αριστερα,α' αθηνων,male
πανουσης αποστολου ιωαννης,2012-06-17,2014-12-31,δημοκρατικη αριστερα,α' αθηνων,male
παντελακη αντωνιου ελπιδα,2004-03-07,2007-08-18,κομμουνιστικο κομμα ελλαδας,α' πειραιως,female
παντελακη αντωνιου ελπιδα,2007-09-16,2008-05-23,κομμουνιστικο κομμα ελλαδας,α' πειραιως,female
παντελακη αντωνιου ελπιδα,2012-05-06,2012-05-19,κομμουνιστικο κομμα ελλαδας,α' πειραιως,female
παντζας σπυριδωνος-αριστοτελη γεωργιος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,αττικης,male
παντζας σπυριδωνος-αριστοτελη γεωργιος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,αττικης,male
παντζας σπυριδωνος-αριστοτελη γεωργιος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,αττικης,male
αποστολου δημητριου ευαγγελος,1996-09-22,2000-03-14,συνασπισμος της αριστερας των κινηματων και της οικολογιας,ευβοιας,male
αποστολου δημητριου ευαγγελος,2012-05-06,2012-05-19,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας,male
αποστολου δημητριου ευαγγελος,2012-06-17,2014-12-31,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας,male
αποστολου δημητριου ευαγγελος,2015-01-25,2015-08-28,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας,male
αποστολου δημητριου ευαγγελος,2015-09-20,2019-06-11,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας,male
αποστολου δημητριου ευαγγελος,2019-07-07,2023-04-22,συνασπισμος ριζοσπαστικης αριστερας,ευβοιας,male
παντουλας χρηστου μιχαηλ,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male
παντουλας χρηστου μιχαηλ,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male
παντουλας χρηστου μιχαηλ,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,ιωαννινων,male
παπαγεωργιου ανδρεα αθανασιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,πιεριας,male
παπαγεωργιου ανδρεα αθανασιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,πιεριας,male
παπαγεωργιου δημητριου σωτηριος,2023-05-21,2023-05-29,πασοκ - κινημα αλλαγης,καρδιτσας,male
παπαγεωργιου ιωαννη γεωργιος,1989-06-18,1989-10-12,νεα δημοκρατια,αρτας,male
παπαγεωργιου ιωαννη γεωργιος,1989-11-05,1990-03-12,νεα δημοκρατια,αρτας,male
παπαγεωργιου ιωαννη γεωργιος,1990-04-08,1993-09-11,νεα δημοκρατια,αρτας,male
παπαγεωργιου ιωαννη γεωργιος,2004-03-07,2007-08-18,νεα δημοκρατια,αρτας,male
παπαγεωργιου ιωαννη γεωργιος,2007-09-16,2009-09-07,νεα δημοκρατια,αρτας,male
παπαγεωργιου ιωαννη γεωργιος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,ευβοιας,male
παπαγεωργιου ιωαννη γεωργιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,ευβοιας,male
παπαγεωργιου ιωαννη γεωργιος,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,ευβοιας,male
παπαγεωργοπουλος νικολαου ελευθεριος,1989-06-18,1989-10-12,νεα δημοκρατια,ευβοιας,male
παπαγεωργοπουλος νικολαου ελευθεριος,1989-11-05,1990-03-12,νεα δημοκρατια,ευβοιας,male
παπαγεωργοπουλος νικολαου ελευθεριος,1990-04-08,1993-09-11,νεα δημοκρατια,ευβοιας,male
παπαγεωργοπουλος νικολαου ελευθεριος,1993-10-10,1996-08-24,νεα δημοκρατια,ευβοιας,male
παπαγεωργοπουλος νικολαου ελευθεριος,1996-09-22,2000-03-14,νεα δημοκρατια,ευβοιας,male
παπαγεωργοπουλος νικολαου ελευθεριος,2000-04-09,2004-02-11,νεα δημοκρατια,ευβοιας,male
