member_name,member_start_date,member_end_date,political_party,administrative_region
τσουρας αγγελου αθανασιος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,2009-05-22,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρας αγγελου αθανασιος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,α' αθηνων
τσουρη στεφανου ελπιδα,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,χιου
τσουρη στεφανου ελπιδα,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,χιου
τσουρη στεφανου ελπιδα,2007-09-16,2009-09-07,πανελληνιο σοσιαλιστικο κινημα,χιου
τσουρη στεφανου ελπιδα,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,χιου
τσουρνος ηλια γεωργιος,2000-04-09,2004-02-11,νεα δημοκρατια,αργολιδος
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1989-01-01,1989-06-02,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1989-06-18,1989-10-12,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1989-11-05,1990-03-12,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1990-04-08,1993-09-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1993-10-10,1996-08-24,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,1996-09-22,2000-03-14,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,2000-04-09,2004-02-11,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσοχατζοπουλος ευαγγελου αποστολος-αθανασιος,2004-03-07,2007-08-18,πανελληνιο σοσιαλιστικο κινημα,α' θεσσαλονικης
τσωνης αθανασιου νικολαος,2009-10-04,2012-04-11,πανελληνιο σοσιαλιστικο κινημα,φθιωτιδας
