date,event,member_name,member_role,gov_date_from,gov_date_to,gov_name
2007-12-17,παραιτηση,βασιλειου μαγγινα,υπουργου απασχολησης και κοινωνικης προστασιας,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2007-12-17,διορισμος,φανης παλλη-πετραλια,υπουργου απασχολησης και κοινωνικης προστασιας,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2008-09-13,παραιτηση,γεωργιου βουλγαρακη,"υπουργου εμπορικης ναυτιλιας, αιγαιου και νησιωτικης πολιτικης",2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2008-09-13,διορισμος,ανασταση παπαληγουρα,"υπουργου εμπορικης ναυτιλιας, αιγαιου και νησιωτικης πολιτικης",2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2008-10-24,παραιτηση,θεοδωρου ρουσοπουλου,υπουργου επικρατειας,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,γεωργιου αλογοσκουφη,υπουργου οικονομιας και οικονομικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,χρηστου φωλια,υπουργου αναπτυξης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,ευρυπιδη στυλιανιδη,υπουργου εθνικης παιδειας και θρησκευματων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,αλεξανδρου κοντου,υπουργου αγροτικης αναπτυξης και τροφιμων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,σωτηριου χατζηγακη,υπουργου δικαιοσυνης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,μιχαηλ-γεωργιου λιαπη,υπουργου πολιτισμου,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,αριστοβουλου σπηλιωτοπουλου,υπουργου τουριστικης αναπτυξης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,κωνσταντινου χατζηδακη,υπουργου μεταφορων και επικοινωνιων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,μαργαριτη τζιμα,υπουργου μακεδονιας-θρακης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,παναγιωτη χηνοφωτη,υφυπουργου εσωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,ιωαννου παπαθανασιου,υφυπουργου οικονομιας και οικονομικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,πετρου δουκα,υφυπουργου εξωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,σταυρου καλαφατη,υφυπουργου αναπτυξης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-07,παραιτηση,γεωργιου κωνσταντοπουλου,υφυπουργου υγειας και κοινωνικης αλληλεγγυης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,ιωαννη παπαθανασιου,υπουργου οικονομιας και οικονομικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,κωνσταντινου χατζηδακη,υπουργου αναπτυξης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,αριστοβουλου σπηλιωτοπουλου,υπουργου εθνικης παιδειας και θρησκευματων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,σωτηριου χατζηγακη,υπουργου αγροτικης αναπτυξης και τροφιμων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,νικολαου-γεωργιου δενδια,υπουργου δικαιοσυνης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,αντωνιου σαμαρα,υπουργου πολιτισμου,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,κωνσταντινου μαρκοπουλου,υπουργου τουριστικης αναπτυξης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,ευριπιδη στυλιανιδη,υπουργου μεταφορων και επικοινωνιων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,σταυρου καλαφατη,υπουργου μακεδονιας-θρακης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,χρηστου μαρκογιαννακη,αναπληρωτη υπουργου εσωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,αθανασιου μπουρα,υφυπουργου οικονομιας και οικονομικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,μιλτιαδη βαρβιτσιωτη,υφυπουργου εξωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,ιωαννη μπουγα,υφυπουργου αναπτυξης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,γεωργιου κοντογιαννη,υφυπουργου απασχολησης και κοινωνικης προστασιας,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,μαριου σαλμα,υφυπουργου υγειας και κοινωνικης αλληλεγγυης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,μιχαηλ παπαδοπουλου,υφυπουργου αγροτικης αναπτυξης και τροφιμων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-08,διορισμος,μιχαηλ μπεκιρη,υφυπουργου μεταφορων και επικοινωνιων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-01-29,διορισμος,κωνσταντινου γκιουλεκα,υφυπουργου εσωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-09-11,παραιτηση,προκοπιου παυλοπουλου,υπουργου εσωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-09-11,παραιτηση,κωνσταντινου γκιουλεκα,υφυπουργου εσωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-09-11,διορισμος,σπυριδων φλογαιτης,υπουργου εσωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-06,παραιτηση,κωνσταντινου καραμανλη,πρωθυπουργου,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,σπυριδωνος φλογαιτη,υπουργου εσωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,ιωαννου παπαθανασιου,υπουργου οικονομιας και οικονομικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,θεοδωρας μπακογιαννη,υπουργου εξωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,ευαγγελου-βασιλειου μειμαρακη,υπουργου εθνικης αμυνας,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,κωνσταντινου χατζηδακη,υπουργου αναπτυξης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,γεωργιου σουφλια,"υπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,αριστοβουλου σπηλιοτοπουλου,υπουργου εθνικης παιδειας και θρησκευματων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,φανης παλλη-πετραλια,υπουργου απασχολησης και κοινωνικης προστασιας,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,δημητριου αβραμοπουλου,υπουργου υγειας και κοινωνικης αλληλεγγυης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,σωτηριου χατζηγακη,υπουργου αγροτικης αναπτυξης και τροφιμων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,νικολαου-γεωργιου δενδια,υπουργου δικαιοσυνης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,αντωνιου σαμαρα,υπουργου πολιτισμου,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,κωνσταντινου μαρκοπουλου,υπουργου τουριστικης αναπτυξης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,ευριπιδη στυλιανιδη,υπουργου μεταφορων και επικοινωνιων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,ανασταση παπαληγουρα,"υπουργου εμπορικης ναυτιλιας, αιγαιου και νησιωτικης πολιτικης",2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,σταυρου καλαφατη,υπουργου μακεδονιας-θρακης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,χρηστου μαρκογιαννακη,αναπληρωτη υπουργου εσωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,αθανασιου νακου,υφυπουργου εσωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,χρηστου ζωη,υφυπουργου εσωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,αντωνιου μπεζα,υφυπουργου οικονομιας και οικονομικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,νικολαου λεγκα,υφυπουργου οικονομιας και οικονομικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,αθανασιου μπουρα,υφυπουργου οικονομιας και οικονομικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,ιωαννου βαληνακη,υφυπουργου εξωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,θεοδωρου κασσιμη,υφυπουργου εξωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,μιλτιαδη βαρβιτσιωτη,υφυπουργου εξωτερικων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,κωνσταντινου τασουλα,υφυπουργου εθνικης αμυνας,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,ιωαννου πλακιωτακη,υφυπουργου εθνικης αμυνας,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,γεωργιου βλαχου,υφυπουργου αναπτυξης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,ιωαννου μπουγα,υφυπουργου αναπτυξης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,σταυρου καλογιαννη,"υφυπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,θεμιστοκλη ξανθοπουλου,"υφυπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,σπυριδωνος ταλιαδουρου,υφυπουργου εθνικης παιδειας και θρησκευματων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,ανδρεα λυκουρεντζου,υφυπουργου εθνικης παιδειας και θρησκευματων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,σοφιας καλαντζακου,υφυπουργου απασχολησης και κοινωνικης προστασιας,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,γεωργιου κοντογιαννη,υφυπουργου απασχολησης και κοινωνικης προστασιας,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,γεωργιου παπαγεωργιου,υφυπουργου υγειας και κοινωνικης αλληλεγγυης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,μαριου σαλμα,υφυπουργου υγειας και κοινωνικης αλληλεγγυης,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,κωνσταντινου κιλτιδη,υφυπουργου αγροτικης αναπτυξης και τροφιμων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,μιχαηλ παπαδοπουλου,υφυπουργου αγροτικης αναπτυξης και τροφιμων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,ιωαννου ιωαννιδη,υφυπουργου πολιτισμου,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,μιχαηλ μπεκιρη,υφυπουργου μεταφορων και επικοινωνιων,2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-07,παραιτηση,παναγιωτη καμμενου,"υφυπουργου εμπορικης ναυτιλιας, αιγαιου και νησιωτικης πολιτικης",2007-09-19,2009-10-06,καραμανλη α. κωνσταντινου
2009-10-06,διορισμος,γεωργιου α. παπανδρεου,πρωθυπουργου,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,θεοδωρου παγκαλου,αντιπροεδρου της κυβερνησης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,ιωαννη ραγκουση,"υπουργου εσωτερικων, αποκεντρωσης και ηλεκτρονικης διακυβερνησης",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,γεωργιου παπακωνσταντινου,υπουργου οικονομικων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,γεωργιου α. παπανδρεου,υπουργου εξωτερικων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,ευαγγελου βενιζελου,υπουργου εθνικης αμυνας,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,λουκια-ταρσιτσα κατσελη,"υπουργου οικονομιας, ανταγωνιστικοτητας και ναυτιλιας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,κωνσταντινα μπιρμπιλη,"υπουργου περιβαλλοντος, ενεργειας και κλιματικης αλλαγης",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,αννα διαμαντοπουλου,"υπουργου παιδειας, δια βιου μαθησης και θρησκευματων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,δημητριου ρεππα,"υπουργου υποδομων, μεταφορων και δικτυων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,ανδρεα λοβερδου,υπουργου εργασιας και κοινωνικης ασφαλισης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,μαριας-ελιζας ξενογιαννακοπουλου,υπουργου υγειας και κοινωνικης αλληλεγγυης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,αικατερινης μπατζελη,υπουργου αγροτικης αναπτυξης και τροφιμων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,χαραλαμπου καστανιδη,"υπουργου δικαιοσυνης, διαφανειας και ανθρωπινων δικαιωματων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,μιχαηλ χρυσοχοιδη,υπουργου προστασιας του πολιτη,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,παυλου γερουλανου,υπουργου πολιτισμου και τουρισμου,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,χαραλαμπου παμπουκη,υπουργου επικρατειας,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,δημητριου δρουτσα,αναπληρωτη υπουργου εξωτερικων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,παναγιωτη μπεγλιτη,αναπληρωτη υπουργου εθνικης αμυνας,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,γεωργιου πεταλωτη,υφυπουργου στον πρωθυπουργο,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,κωνσταντινου ροβλια,"υφυπουργου εσωτερικων, αποκεντρωσης και ηλεκτρονικης διακυβερνησης",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,θεοδωρας τζακρη,"υφυπουργου εσωτερικων, αποκεντρωσης και ηλεκτρονικης διακυβερνησης",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,φιλιππου σαχινιδη,"υφυπουργου οικονομιας, ανταγωνιστικοτητας και ναυτιλιας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,σπυριδωνα κουβελη,υφυπουργου εξωτερικων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,σταυρου αρναουτακη,"υφυπουργου οικονομιας, ανταγωνιστικοτητας και ναυτιλιας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,μαρκου μπολαρη,"υφυπουργου οικονομιας, ανταγωνιστικοτητας και ναυτιλιας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,ιωαννη μανιατη,"υφυπουργου περιβαλλοντος, ενεργειας και κλιματικης αλλαγης",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,αθανασιου μωραιτη,"υφυπουργου περιβαλλοντος, ενεργειας και κλιματικης αλλαγης",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,παρασκευης χριστοφιλοπουλου,"υφυπουργου παιδειας, δια βιου μαθησης και θρησκευματων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,ιωαννη παναρετου,"υφυπουργου παιδειας, δια βιου μαθησης και θρησκευματων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,ιωαννη μαγκριωτη,"υφυπουργου υποδομων, μεταφορων και δικτυων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,νικολαου σηφουνακη,"υφυπουργου υποδομων, μεταφορων και δικτυων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,γεωργιου κουτρουμανη,υφυπουργου εργασιας και κοινωνικης ασφαλισης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,φωτεινης γεννηματα,υφυπουργου υγειας και κοινωνικης αλληλεγγυης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,μιχαηλ καρχιμακη,υφυπουργου αγροτικης αναπτυξης και τροφιμων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,αποστολου κατσιφαρα,"υφυπουργου δικαιοσυνης, διαφανειας και ανθρωπινων δικαιωματων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,σπυριδωνα βουγια,υφυπουργου προστασιας του πολιτη,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2009-10-07,διορισμος,αγγελικης γκερεκου,υφυπουργου πολιτισμου και τουρισμου,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-01-11,παραιτηση,κωνσταντινου ροβλια,"υφυπουργου εσωτερικων, αποκεντρωσης και ηλεκτρονικης διακυβερνησης",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-01-11,διορισμος,γεωργιου ντολιου,"υφυπουργου εσωτερικων, αποκεντρωσης και ηλεκτρονικης διακυβερνησης",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-05-21,παραιτηση,αγγελικη γκερεκου,υφυπουργου πολιτισμου και τουρισμου,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-05-21,διορισμος,γεωργιου νικητιαδη,υφυπουργου πολιτισμου και τουρισμου,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,γεωργιου παπανδρεου,υπουργου εξωτερικων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,λουκιας-ταρσιτσας κατσελη,"υπουργου οικονομιας, ανταγωνιστικοτητας και ναυτιλιας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,ανδρεα λοβερδου,υπουργου εργασιας και κοινωνικης ασφαλισης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,μαριας-ελιζας ξενογιαννακοπουλου,υπουργου υγειας και κοινωνικης αλληλεγγυης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,αικατερινης μπατζελη,υπουργου αγροτικης αναπτυξης και τροφιμων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,μιχαηλ χρυσοχοιδη,υπουργου προστασιας του πολιτη,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,δημητριου δρουτσα,αναπληρωτη υπουργου εξωτερικων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,σταυρου αρναουτακη,"υφυπουργου οικονομιας, ανταγωνιστικοτητας και ναυτιλιας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,μαρκου μπολαρη,"υφυπουργου οικονομιας, ανταγωνιστικοτητας και ναυτιλιας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,νικολαου σηφουνακη,"υφυπουργου υποδομων, μεταφορων και δικτυων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,γεωργιου κουτρουμανη,υφυπουργου εργασιας και κοινωνικης ασφαλισης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,φωτεινης γεννηματα,υφυπουργου υγειας και κοινωνικης αλληλεγγυης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,μιχαηλ καχριμακη,υφυπουργου αγροτικης αναπτυξης και τροφιμων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,αποστολου κατσιφαρα,"υφυπουργου δικαιοσυνης, διαφανειας και ανθρωπινων δικαιωματων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,παραιτηση,σπυριδωνα βουγια,υφυπουργου προστασιας του πολιτη,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,δημητριου δρουτσα,υπουργου εξωτερικων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,μιχαηλ χρυσοχοιδη,"υπουργου οικονομιας, ανταγωνιστικοτητας και ναυτιλιας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,λουκιας-ταρσιτσας κατσελη,υπουργου εργασιας και κοινωνικης ασφαλισης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,ανδρεα λοβερδου,υπουργου υγειας και κοινωνικης αλληλεγγυης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,κωνσταντινου σκανδαλιδη,υπουργου αγροτικης αναπτυξης και τροφιμων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,χρηστου παπουτση,υπουργου προστασιας του πολιτη,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,μαριας-ελιζας ξενογιαννακοπουλου,αναπληρωτη υπουργου εξωτερικων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,σωκρατη ξυνιδη,"αναπληρωτη υπουργου οικονομιας, ανταγωνιστικοτητας και ναυτιλιας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,νικολαου σηφουνακη,"αναπληρωτη υπουργου περιβαλλοντος, ενεργειας και κλιματικης αλλαγης",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,φωτεινης γεννηματα,"αναπληρωτη υπουργου παιδειας, δια βιου μαθησης και θρησκευματων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,γεωργιου κουτρουμανη,αναπληρωτη υπουργου εργασιας και κοινωνικης ασφαλισης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,τηλεμαχου χυτηρη,αναπληρωτη υπουργου πολιτισμου και τουρισμου,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,δημητριου κουσελα,υφυπουργου οικονομικων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,δημητριου δολλη,υφυπουργου εξωτερικων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,παναγιωτη ρηγα,"υφυπουργου οικονομιας, ανταγωνιστικοτητας και ναυτιλιας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,κωνσταντινου ροβλια,"υφυπουργου οικονομιας, ανταγωνιστικοτητας και ναυτιλιας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,σπυριδωνα βουγια,"υφυπουργου υποδομων, μεταφορων και δικτυων",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,βασιλειου κεγκερογλου,υφυπουργου εργασιας και κοινωνικης ασφαλισης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,αννας νταλαρα,υφυπουργου εργασιας και κοινωνικης ασφαλισης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,χρηστου αηδονη,υφυπουργου υγειας και κοινωνικης αλληλεγγυης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,μιχαηλ τιμοσιδη,υφυπουργου υγειας και κοινωνικης αλληλεγγυης,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,ελενης-μαριας αποστολακη,υφυπουργου αγροτικης αναπτυξης και τροφιμων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,ιωαννη κουτσουκου,υφυπουργου αγροτικης αναπτυξης και τροφιμων,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-07,διορισμος,εμμανουηλ οθωνα,υφυπουργου προστασιας του πολιτη,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-30,παραιτηση,γεωργιου πεταλωτη,υφυπουργου στον πρωθυπουργο,2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-30,διορισμος,ιωαννη διαμαντιδη,"υπουργου θαλασσιων υποθεσεων, νησων και αλιειας",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
2010-09-30,διορισμος,γεωργιου πεταλωτη,"υφυπουργου εσωτερικων, εσωτερικων, αποκεντρωσης και ηλεκτρονικης διακυβερνησης",2009-10-06,2011-11-11,παπανδρεου α. γεωργιου
