date,event,member_name,member_role,gov_date_from,gov_date_to,gov_name
1989-07-02,διορισμος,ιωαννη βασιλειαδη,αναπληρωτη υπουργου εθνικης αμυνας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-02,διορισμος,γεωργιου παπουλια,αναπληρωτη υπουργου εξωτερικων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-03,διορισμος,τζαννη τζαννετακη (πρωθυπουργου ),υπουργου εξωτερικων και τουρισμου,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-03,διορισμος,νικολαου-λεανδρου λιναρδατου,υφυπουργου προεδριας της κυβερνησης,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-07,παραιτηση,σωτηριου χατζηγακη,υπουργου εργασιας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-07,παραιτηση,αννας ψαρουδα-μπενακη,υπουργου πολιτισμου,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-07,διορισμος,θεοχαρη παπαμαργαρη,υπουργου εργασιας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-07-07,διορισμος,γεωργιου μυλωνα,υπουργου πολιτισμου,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,τζαννη τζανετακη,πρωθυπουργου,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,αθανασιου κανελλοπουλου,υπουργου προεδριας της κυβερνησης,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,ιωαννη βαρβιτσιωτη,υπουργου εθνικης αμυνας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,τζαννη τζαννετακη,υπουργου εξωτερικων και υπουργου τουρισμου,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,νικολαου κωνσταντοπουλου,υπουργου εσωτερικων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,γεωργιου σουφλια,υπουργου εθνικης οικονομιας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,αντωνιου σαμαρα,υπουργου οικονομικων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,σταυρου δημα,υπουργου γεωργιας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,θεοχαρη παπαμαργαρη,υπουργου εργασιας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,μιλτιαδη εβερτ,"υπουργου υγειας, προνοιας & κοινωνικων ασφαλισεων",1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,φωτη κουβελη,υπουργου δικαιοσυνης,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,βασιλειου κοντογιαννοπουλου,υπουργου εθνικης παιδειας και θρησκευματων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,γεωργιου μυλωνα,υπουργου πολιτισμου,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,ιωαννη κεφαλογιαννη,υπουργου δημοσιας ταξης,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,παναγιωτη χατζηνικολαου,υπουργου μακεδονιας-θρακης,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,εμμανουηλ κεφαλογιαννη,υπουργου αιγαιου και υπουργου χωρις χαρτοφυλακιο,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,σωτηριου κουβελα,υπουργου περιβαλλοντος χωροταξιας και δημοσιων εργων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,μιχαηλ παπακωνσταντινου,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας",1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,ανδρεα ανδριανοπουλου,υπουργου εμποριου,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,νικολαου γκελεσταθη,υπουργου μεταφορων και επικοινωνιων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,αριστοτελη παυλιδη,υπουργου εμπορικης ναυτιλιας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,ιωαννη βασιλειαδη,αναπληρωτη υπουργου εθνικης αμυνας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,γεωργιου παπουλια,αναπληρωτη υπουργου εξωτερικων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,σωτηριου χατζηγακη,αναπληρωτη υπουργου εθνικης οικονομιας,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,αννας ψαρουδα-μπενακη,αναπληρωτη υπουργου εθνικης παιδειας και θρησκευματων,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,παραιτηση,νικολαου λιναρδατου,υφυπουργου προεδριας της κυβερνησης,1989-07-02,1989-10-12,τζαννετακη τζαννη
1989-10-12,διορισμος,ιωαννη γριβα,πρωθυπουργου,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,νικολαου θεμελη,υπουργου προεδριας της κυβερνησης,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,θεοδωρου ντεγιαννη,υπουργου εθνικης αμυνας,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,γεωργιου παπουλια,υπουργου εξωτερικων,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,βασιλειου σκουρη,υπουργου εσωτερικων,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,γεωργιου κοντογεωργη,υπουργου εθνικης οικονομιας και τουρισμου,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,γεωργιου αγαπητου,υπουργου οικονομικων,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,ιωαννη λιαπη,υπουργου γεωργιας,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,ιωαννη κουκιαδη,υπουργου εργασιας,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,γεωργιου μερικα,υπουργου υγειας προνοιας και κοινωνικων ασφαλισεων,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,κωνσταντινου σταματη,υπουργου δικαιοσυνης,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,κωνσταντινου δεσποτοπουλου,υπουργου εθνικης παιδειας και θρησκευματων,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,γεωργιου μυλωνα,υπουργου πολιτισμου,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,δημητριου μανικα,υπουργου δημοσιας ταξης,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,ιωαννη δεληγιαννη,υπουργου μακεδονιας-θρακης,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,αντωνιου φουσσα,υπουργου αιγαιου,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,κωνσταντινου λιασκα,"υπουργου περιβαλλοντος, χωροταξιας και δημοσιων εργων",1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,παυλου σακελλαριδη,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας",1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,θεοδωρου γκαμαλετσου,υπουργου εμποριου,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,γεωργιου νουτσοπουλου,υπουργου μεταφορων και επικοινωνιων,1989-10-12,1989-11-23,γριβα ιωαννη
1989-10-12,διορισμος,νικολαου παππα,υπουργου εμπορικης ναυτιλιας,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,ιωαννη γριβα,πρωθυπουργου,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,νικολαου θεμελη,υπουργου προεδριας της κυβερνησης,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,θεοδωρου ντεγιαννη,υπουργου εθνικης αμυνας,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,γεωργιου παπουλια,υπουργου εξωτερικων,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,βασιλειου σκουρη,υπουργου εσωτερικων,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,γεωργιου κοντογεωργη,υπουργου εθνικης οικονομιας και υπουργου τουρισμου,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,γεωργιου αγαπητου,υπουργου οικονομικων,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,ιωαννη λιαπη,υπουργου γεωργιας,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,ιωαννη κουκιαδη,υπουργου εργασιας,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,γεωργιου μερικα,"υπουργου υγειας, προνοιας και κοινωνικων ασφαλισεων",1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,κωνσταντινου σταματη,υπουργου δικαιοσυνης,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,κωνσταντινου δεσποτοπουλου,υπουργου εθνικης παιδειας και θρησκευματων,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,γεωργιου μυλωνα,υπουργου πολιτισμου,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,δημητριου μανικα,υπουργου δημοσιας ταξης,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,ιωαννη δεληγιαννη,υπουργου μακεδονιας-θρακης,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,αντωνιου φουσσα,υπουργου αιγαιου,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,κωνσταντινου λιασκα,"υπουργου περιβαλλοντος, χωροταξιας και δημο-σιων εργων",1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,παυλου σακελλαριδη,"υπουργου βιομηχανιας, ενεργειας και τεχνολογιας",1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,θεοδωρου γκαμαλετσου,υπουργου εμποριου,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,γεωργιου νουτσοπουλου,υπουργου μεταφορων και επικοινωνιων,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,παραιτηση,νικολαου παππα,υπουργου εμπορικης ναυτιλιας,1989-10-12,1989-11-23,γριβα ιωαννη
1989-11-23,διορισμος,ξενοφωντος ζολωτα,πρωθυπουργου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,νικολαου θεμελη,υπουργου προεδριας της κυβερνησης,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,τζαννη τζαννετακη,υπουργου εθνικης αμυνας και υπουργου τουρισμου,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,αντωνιου σαμαρα,υπουργου εξωτερικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,θεοδωρου κατριβανου,υπουργου εσωτερικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,γεωργιου γενηματα,υπουργου εθνικης οικονομιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,γεωργιου σουφλια,υπουργου οικονομικων,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,σταυρου δημα,υπουργου γεωργιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,αποστολου κακλαμανη,υπουργου εργασιας,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,γεωργιου μερικα,"υπουργου υγειας, προνοιας & κοινωνικων ασφαλισεων",1989-11-23,1990-04-11,ζολωτα ξενοφωντα
1989-11-23,διορισμος,κωνσταντινου σταματη,υπουργου δικαιοσυνης,1989-11-23,1990-04-11,ζολωτα ξενοφωντα
